customer_id,age,gender,annual_income,spending_score,purchase_frequency
1001,56,Male,59754,92,20
1002,46,Male,36411,30,16
1003,32,Male,27911,93,13
1004,60,Female,92270,46,18
1005,25,Female,108763,6,10
1006,38,Female,33680,99,19
1007,56,Female,109896,37,17
1008,36,Female,108879,24,24
1009,40,Female,96295,93,19
1010,28,Female,113614,46,23
1011,28,Male,36111,53,5
1012,41,Male,62504,95,21
1013,53,Male,26802,99,23
1014,57,Female,33155,60,9
1015,41,Female,98656,97,12
1016,20,Female,64384,63,21
1017,39,Male,72254,85,1
1018,19,Female,46918,32,1
1019,41,Male,110981,87,15
1020,61,Other,85713,33,2
1021,47,Female,55306,67,22
1022,55,Female,41646,18,16
1023,19,Male,71843,25,8
1024,38,Male,115735,95,13
1025,50,Male,41371,54,21
1026,29,Female,102371,58,1
1027,39,Male,27049,67,16
1028,61,Male,56616,46,7
1029,42,Male,45932,24,5
1030,44,Female,54855,32,22
1031,59,Male,86434,47,23
1032,45,Female,97694,86,3
1033,33,Female,68016,23,12
1034,32,Male,32400,66,16
1035,64,Female,67642,27,19
1036,61,Female,40151,2,5
1037,20,Male,76407,90,22
1038,54,Female,91690,17,14
1039,24,Female,29499,33,5
1040,38,Female,31295,9,15
1041,26,Female,84040,43,17
1042,56,Female,37183,48,14
1043,35,Male,54299,39,20
1044,21,Male,37874,93,5
1045,42,Male,57711,42,12
1046,31,Male,30539,26,16
1047,26,Male,78351,99,16
1048,43,Female,86267,50,21
1049,19,Male,73354,25,7
1050,37,Male,27557,24,4
1051,45,Male,63360,13,1
1052,64,Female,107018,60,5
1053,24,Male,27200,7,23
1054,61,Female,93497,57,10
1055,25,Male,71975,36,22
1056,64,Male,46357,45,5
1057,52,Male,102505,20,4
1058,31,Male,27869,65,2
1059,34,Female,86135,8,20
1060,53,Female,75108,16,10
1061,57,Female,119179,14,19
1062,21,Male,115272,76,1
1063,19,Male,63467,87,24
1064,23,Male,48328,15,5
1065,59,Male,116412,92,13
1066,21,Female,111831,98,4
1067,46,Male,28987,66,16
1068,35,Male,83871,32,24
1069,43,Male,47399,87,16
1070,61,Male,71214,63,23
1071,51,Female,111416,86,2
1072,27,Female,95271,51,17
1073,53,Male,69064,25,20
1074,31,Other,95091,58,24
1075,48,Male,65818,63,12
1076,32,Other,70525,62,18
1077,25,Male,44830,22,3
1078,31,Male,42429,58,1
1079,40,Male,31893,58,1
1080,57,Female,104909,86,19
1081,38,Female,72333,49,11
1082,33,Female,28436,52,5
1083,62,Male,99290,42,12
1084,35,Female,101213,70,3
1085,64,Female,30895,15,1
1086,41,Male,44738,54,1
1087,43,Male,55746,60,8
1088,42,Male,74377,97,10
1089,62,Female,73404,8,11
1090,58,Male,79045,53,12
1091,46,Other,64790,60,13
1092,32,Male,30600,5,12
1093,62,Female,119660,68,14
1094,18,Female,118179,6,2
1095,42,Male,65764,96,19
1096,24,Female,99543,94,18
1097,26,Female,70714,47,3
1098,41,Female,81835,99,23
1099,18,Male,98744,55,17
1100,61,Male,81491,40,8
